experiment,waiting_queue_size_mean,waiting_queue_size_p50,waiting_queue_size_p90,waiting_queue_size_max,kv_cache_usage_percent_mean,kv_cache_usage_percent_p50,kv_cache_usage_percent_p90,kv_cache_usage_percent_max,num_pods,num_data_points,time_span_minutes
estimate-prefix-cache_load,26.82091346153846,7.0,80.0,258,0.689516596869932,0.7577433628318584,0.9948838495575221,1.0,4,56576,30.133333333333333
load,37.632276066685506,15.0,106.0,360,0.741211482060204,0.9005116150442478,0.9951603982300885,1.0,4,56624,39.016666666666666
precise-prefix-cache_load,0.47073907545314037,0.0,0.0,32,0.5934356818585935,0.6700774336283186,0.802129424778761,0.9264380530973452,4,56936,22.35
random,36.64133482893999,20.0,99.0,214,0.7497385205545615,0.909983407079646,0.9954369469026548,1.0,4,57056,34.75
