experiment,requested_qps,successes,failures,duration_s,achieved_rps_json,ttft_mean_s,itl_mean_s,ttft_p50_s,ttft_p90_s,itl_p50_s,itl_p90_s,input_tokens_total,output_tokens_total,input_toks_per_sec_json,output_toks_per_sec_json,total_toks_per_sec_json,total_completed,success_rate,completed_rps_total,completed_rps_successes,completed_rps,output_toks_per_sec,input_toks_per_sec,total_toks_per_sec,input_toks_per_sec_plot,output_toks_per_sec_plot,total_toks_per_sec_plot,norm_time_per_output_token_s
precise-prefix-cache,10.0,500,0,77.1557250879705,4.522631874284665,20.471874085329475,0.15244125950390972,20.988827195949852,33.464329227246346,5.828123539686203e-05,0.3736014334484935,10359301,71160,13014.081259320339,89.34911530836783,13103.430374628708,500,1.0,6.480400507284663,6.480400507284663,6.480400507284663,922.2906001967532,134264.83891102904,135187.1295112258,13014.081259320339,89.34911530836783,13103.430374628708,0.0010842569573913784
precise-prefix-cache,12.0,600,0,97.52602468058467,4.518475722872977,21.465590563652416,0.15144158883391295,24.277650439180434,33.467146936058995,5.8323144912719727e-05,0.37239343877881764,10359301,71160,13002.456109653736,90.0080363996297,13092.464146053366,600,1.0,6.152204008777229,6.152204008777229,6.152204008777229,729.6513954409794,106220.88856721659,106950.53996265757,13002.456109653736,90.0080363996297,13092.464146053366,0.0013705174912954563
precise-prefix-cache,15.0,750,0,130.36455249600112,4.613889483153913,23.41808023231228,0.1575288036805464,25.31431050878018,34.076980020292105,5.847681313753128e-05,0.3734145710244775,10359301,71160,13277.032958218651,91.35501176644748,13368.387969985099,750,1.0,5.753097645335805,5.753097645335805,5.753097645335805,545.8539045894612,79464.09358723313,80009.94749182259,13277.032958218651,91.35501176644748,13368.387969985099,0.0018319920249578573
precise-prefix-cache,20.0,1000,0,184.9112771935761,4.567815349946758,25.296483209270985,0.16066474593471644,26.28761758375913,36.65259197801352,5.820486694574356e-05,0.3732517896220088,10359301,71160,13144.331747560742,89.94485205580162,13234.276599616544,1000,1.0,5.407998988364245,5.407998988364245,5.407998988364245,384.83320801199966,56023.08932816071,56407.922536172715,13144.331747560742,89.94485205580162,13234.276599616544,0.002598528347295898
prefix-cache-estimate,2.0,100,0,49.40114242397249,1.7118792487739576,4.777779746893794,0.0867528380512646,1.9065641462802887,14.760377399623424,5.0370581448078156e-05,0.3464796178042889,10356327,70920,4925.949657139551,33.895209125724364,4959.844866265275,100,1.0,2.024244685310634,2.024244685310634,2.024244685310634,1435.5943308223016,209637.39889089024,211072.99322171253,4925.949657139551,33.895209125724364,4959.844866265275,0.0006965756122951564
prefix-cache-estimate,5.0,250,0,50.42002333141863,3.7392587845050866,6.200961646288634,0.16392564161576148,4.759657694026828,15.833517125993966,4.780571907758713e-05,0.3693368198350072,10356327,70920,10757.084714229095,72.22752268150025,10829.312236910595,250,1.0,4.95834756673378,4.95834756673378,4.95834756673378,1406.5840377310387,205401.0751229974,206807.65916072845,10757.084714229095,72.22752268150025,10829.312236910595,0.0007109422353555927
prefix-cache-estimate,8.0,400,0,51.82355096936226,4.616615839252901,12.958689057608135,0.13587578598784691,9.877626422792673,29.866364399902526,5.818065255880356e-05,0.37054844610393045,10356327,70920,13280.50336938284,90.75112586011392,13371.254495242954,400,1.0,7.718498491862848,7.718498491862848,7.718498491862848,1368.489782607283,199838.2358268462,201206.72560945348,13280.50336938284,90.75112586011392,13371.254495242954,0.0007307325291788249
prefix-cache-estimate,10.0,500,0,88.5383603964001,4.146524305338714,24.362277143675833,0.16372772161698923,28.728966997936368,33.687898171320555,5.7928264141082764e-05,0.3720450077205897,10356327,70920,11928.895275619236,82.71486684289667,12011.610142462134,500,1.0,5.647269700516497,5.647269700516497,5.647269700516497,801.0087343212599,116969.94335148181,117770.95208580307,11928.895275619236,82.71486684289667,12011.610142462134,0.0012484258375126916
prefix-cache-estimate,12.0,600,0,108.7503675352782,4.150803073960346,25.037947530476377,0.16437742034344352,27.548902875743806,33.88770963679999,5.8817677199840546e-05,0.37301297914236786,10356327,70920,11940.698218923208,81.81924659288168,12022.517465516088,600,1.0,5.517222733112717,5.517222733112717,5.517222733112717,652.135727053923,95230.27125991503,95882.40698696896,11940.698218923208,81.81924659288168,12022.517465516088,0.0015334231180947292
prefix-cache-estimate,15.0,750,0,151.1117005366832,4.017656034048521,28.629252689940234,0.1663780721160091,32.42319235391915,34.963931133411826,5.6772492825984955e-05,0.37125765476375816,10356327,70920,11557.735748764606,79.8388607086122,11637.574609473217,750,1.0,4.9632159345459375,4.9632159345459375,4.9632159345459375,469.3216987706639,68534.24958635776,69003.57128512843,11557.735748764606,79.8388607086122,11637.574609473217,0.002130734638137101
prefix-cache-estimate,20.0,1000,0,195.90677334181964,4.328554366247063,26.744903165418656,0.16734758591806378,28.658305279910564,34.29883035719395,5.676690489053726e-05,0.3732736200094223,10356327,70920,12451.96100249166,84.59293797956636,12536.553940471225,1000,1.0,5.104468737562189,5.104468737562189,5.104468737562189,362.0089228679104,52863.54740747121,53225.556330339125,12451.96100249166,84.59293797956636,12536.553940471225,0.002762362850279465
random-routing,2.0,100,0,50.04854969866574,1.6666098301951953,3.1058425811491905,0.13134003546043505,1.5352137731388211,7.00928286574781,5.4620206356048584e-05,0.34778884835541246,10364384,70674,4798.069704542156,32.8488797531473,4830.918584295303,100,1.0,1.998059895882776,1.998059895882776,1.998059895882776,1412.1088508161931,207086.6001592911,208498.7090101073,4798.069704542156,32.8488797531473,4830.918584295303,0.0007081607054739472
random-routing,5.0,250,0,49.61215461604297,3.279841412315897,9.284427238725126,0.14825649559788587,6.712098934687674,21.701695824041963,5.018431693315506e-05,0.36658295672386887,10364384,70674,9442.742142251363,64.40296597223495,9507.145108223598,250,1.0,5.039087738373654,5.039087738373654,5.039087738373654,1424.5299472872784,208908.16132078433,210332.69126807162,9442.742142251363,64.40296597223495,9507.145108223598,0.0007019859441384805
random-routing,8.0,400,0,63.80146367661655,3.434761822672441,21.576802986403926,0.16238788422015382,19.308702719397843,40.12921503353864,6.03189691901207e-05,0.3712813876569271,10364384,70674,9888.85102556509,66.96068173299923,9955.81170729809,400,1.0,6.269448645056733,6.269448645056733,6.269448645056733,1107.7175338518489,162447.43306411922,163555.15059797108,9888.85102556509,66.96068173299923,9955.81170729809,0.0009027572187313092
random-routing,10.0,500,0,91.10334311239421,3.490170512307125,26.254145325161517,0.16531961505623852,26.68101054150611,47.528829807415605,5.924515426158905e-05,0.37109498120844364,10364384,70674,10048.298629706558,68.60977193093346,10116.90840163749,500,1.0,5.488272800078806,5.488272800078806,5.488272800078806,775.7563837455391,113765.13359354396,114540.8899772895,10048.298629706558,68.60977193093346,10116.90840163749,0.0012890644807481424
random-routing,12.0,600,0,115.66187011450529,3.452778455032782,28.337836585010713,0.16579638312752473,28.07818321045488,45.581231367029254,5.987100303173065e-05,0.37099242508411406,10364384,70674,9940.255685870701,67.70323087243446,10007.958916743137,600,1.0,5.187535005321977,5.187535005321977,5.187535005321977,611.0397482768757,89609.34134766502,90220.38109594189,9940.255685870701,67.70323087243446,10007.958916743137,0.0016365547459391756
random-routing,15.0,750,0,151.72306615114212,3.7614731199976443,29.966752196165423,0.16091570838583194,36.465767110697925,47.11854620166123,5.9907324612140656e-05,0.370682224817574,10364384,70674,10829.441601993005,73.65967428454054,10903.101276277546,750,1.0,4.943216737083811,4.943216737083811,4.943216737083811,465.8091995688817,68311.19527781822,68777.0044773871,10829.441601993005,73.65967428454054,10903.101276277546,0.0021468017396941183
random-routing,20.0,1000,0,212.48798836767673,3.7311524896373434,30.19271805278398,0.16778429249751314,29.441403910517693,53.79740510191769,5.947146564722061e-05,0.3714293332770467,10364384,70674,10741.872351938733,73.55967133320023,10815.432023271933,1000,1.0,4.706148369524111,4.706148369524111,4.706148369524111,332.60232986774696,48776.32886272178,49108.93119258952,10741.872351938733,73.55967133320023,10815.432023271933,0.003006593490784118
